,Category,Year,nr_of_years,from-till
62,Think Tanks with the Best External Relations/Public Engagement Program,[2012. 2013. 2014. 2015. 2016. 2018.],6,"(2012, 2018)"
63,Think Tanks with the Best External Relations/Public Engagement Programs,[2011.],1,"(2011, 2011)"
64,Think Tanks with the Best Use of Media (Print or Electronic),[2012.],1,"(2012, 2012)"
65,Think Tanks with the Best Use of the Internet,[2013. 2014. 2015. 2016.],4,"(2013, 2016)"
66,Think Tanks with the Best Use of the Internet or Social Media,[2012.],1,"(2012, 2012)"
67,Think Tanks with the Best Use of the Internet or Social Media to engage the Public,[2011.],1,"(2011, 2011)"
68,Think Tanks with the Best Use of the Media (Print or Electronic),[2013. 2014.],2,"(2013, 2014)"
69,Think Tanks with the Best Use of the Media (Print or Electronic) to Communicate Programs and Research,[2011.],1,"(2011, 2011)"
70,Think Tanks with the Greatest Impact on Public Policy (Global),[2011.],1,"(2011, 2011)"
71,Think Tanks with the Most Innovative Policy Ideas/Proposals,[2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018.],8,"(2011, 2018)"
72,Think Tanks with the Most Innovative Policy/Idea Proposal,[2008. 2009. 2010.],3,"(2008, 2010)"
73,Think Tanks with the Most Significant Impact on Public Policy,[2012. 2013. 2014. 2015. 2016. 2017. 2018.],7,"(2012, 2018)"
74,Top Think Tank in the World,[2008.],1,"(2008, 2008)"
75,Top Think Tanks with Annual Operating Budgets of  Less Than $5 Million USD,[2017.],1,"(2017, 2017)"
76,Top Think Tanks with Annual Operating Budgets of Less Than $5 Million USD,[2011. 2013. 2014. 2018.],4,"(2011, 2018)"
77,Top Think Tanks with Annual Operating Budgets of less Than $5 Million USD,[2016.],1,"(2016, 2016)"
78,Top Think Tanks with Annual Operating Budgets ofLess Than $5 Million USD,[2015.],1,"(2015, 2015)"
